r,theta,n,s,psi,eigenvalue
0.1,3.9750764188279013,0.0,0.0,0.2475340245043072,1.5318096764997318
0.1,4.103304690402995,0.0,0.0,0.24056980170645673,1.5318096764997318
0.1,4.231532961978089,0.0,0.0,0.24418120379898373,1.5318096764997318
0.1,4.359761233553182,0.0,0.0,0.2446347021839311,1.5318096764997318
0.1,4.487989505128276,0.0,0.0,0.24299889910565645,1.5318096764997318
0.1,4.616217776703369,0.0,0.0,0.24507967519806326,1.5318096764997318
0.1,4.744446048278463,0.0,0.0,0.244949690247166,1.5318096764997318
0.1,4.872674319853556,0.0,0.0,0.24636667764263004,1.5318096764997318
0.1,5.00090259142865,0.0,0.0,0.24103997646333633,1.5318096764997318
0.1,5.129130863003743,0.0,0.0,0.2570463985360852,1.5318096764997318
0.1,5.257359134578837,0.0,0.0,0.2417842250697152,1.5318096764997318
0.1,5.385587406153931,0.0,0.0,0.2428782335214315,1.5318096764997318
0.1,5.513815677729024,0.0,0.0,0.23304345473644758,1.5318096764997318
0.1,5.642043949304118,0.0,0.0,0.24358163719883005,1.5318096764997318
0.1,5.770272220879211,0.0,0.0,0.23973616329280173,1.5318096764997318
0.1,5.898500492454305,0.0,0.0,0.22341864989737323,1.5318096764997318
0.1,6.026728764029398,0.0,0.0,0.24218650307639109,1.5318096764997318
0.1,6.154957035604492,0.0,0.0,0.23616718721346158,1.5318096764997318
0.1,6.283185307179586,0.0,0.0,0.23680306850073243,1.5318096764997318
0.15,0.0,0.0,0.0,0.25155221082200974,1.5318096764997318
0.15,0.1282282715750936,0.0,0.0,0.24919726985971696,1.5318096764997318
0.15,0.2564565431501872,0.0,0.0,0.23792786935792762,1.5318096764997318
0.15,0.38468481472528077,0.0,0.0,0.23505521936238238,1.5318096764997318
0.15,0.5129130863003744,0.0,0.0,0.23688513091909905,1.5318096764997318
0.15,0.6411413578754679,0.0,0.0,0.23798800312585905,1.5318096764997318
0.15,0.7693696294505615,0.0,0.0,0.23283361815621606,1.5318096764997318
0.15,0.8975979010256552,0.0,0.0,0.2310249779102839,1.5318096764997318
0.15,1.0258261726007487,0.0,0.0,0.24116380728196277,1.5318096764997318
0.15,1.1540544441758422,0.0,0.0,0.2266417354822454,1.5318096764997318
0.15,1.2822827157509358,0.0,0.0,0.24302632823858134,1.5318096764997318
0.15,1.4105109873260295,0.0,0.0,0.239707642901038,1.5318096764997318
0.15,1.538739258901123,0.0,0.0,0.2347390054002783,1.5318096764997318
0.15,1.6669675304762166,0.0,0.0,0.2389302876787339,1.5318096764997318
0.15,1.7951958020513104,0.0,0.0,0.23210337506954984,1.5318096764997318
0.15,1.9234240736264039,0.0,0.0,0.23988126973149132,1.5318096764997318
0.15,2.0516523452014974,0.0,0.0,0.2551206751590499,1.5318096764997318
0.15,2.179880616776591,0.0,0.0,0.23121637556224112,1.5318096764997318
0.15,2.3081088883516845,0.0,0.0,0.23719236186445913,1.5318096764997318
0.15,2.436337159926778,0.0,0.0,0.231074020904143,1.5318096764997318
0.15,2.5645654315018716,0.0,0.0,0.23951402981693423,1.5318096764997318
0.15,2.6927937030769655,0.0,0.0,0.23620043662175144,1.5318096764997318
0.15,2.821021974652059,0.0,0.0,0.24534154395771895,1.5318096764997318
